"","company","rating","salary","city","state","companysize","industy","statistics","r","python","machine learning","engineering","computer science","economics","clustering","data mining","hadoop","java","math","matlab","physics","sas","hive","operations research","sql","classification","applied mathematics","marketing","spark"
"135","Sitecore",3.1,"$127k-$176k","Sausalito","CA","501-1000","Computer Hardware & Software",1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"136","Limeade",3.5,"$80k-$115k","Bellevue","WA","51-200","Enterprise Software & Network Solutions",1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"137","Tuft & Needle",5,"$69k-$100k","Mesa","AZ","51-200","Home Furniture & Housewares Stores",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"138","National Grid USA",3.5,"$62k-$96k","Waltham","MA","10000--1","Utilities",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"139","Altamira Technologies",4.1,"$99k-$147k","Alexandria","VA","201-500","IT Services",1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"140","Udemy",4.4,"$77k-$99k","San Francisco","CA","201-500","Education Training Services",1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"141","IntraEdge",3.9,"$77k-$118k","Phoenix","AZ","501-1000","IT Services",1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"142","Newsela",3.8,"$122k-$184k","New York","NY","51-200","Internet",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"143","TrueMotion",4.9,"$98k-$141k","Boston","MA","1-50","Computer Hardware & Software",1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"144","Vertical Knowledge",4,"$86k-$123k","Cleveland","OH","51-200","IT Services",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"145","IBM",3.5,"$73k-$107k","Dallas","TX","10000--1",NA,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"146","Uber",4.2,"$74k-$110k","Pittsburgh","PA","10000--1","Computer Hardware & Software",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","NBCNEWS.com",3.2,"$137k-$207k","New York","NY","201-500","Motion Picture Production & Distribution",1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
"148","Epiworks",4.7,"$66k-$101k","Champaign","IL","51-200","Electrical & Electronic Manufacturing",1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"149","BCForward",3.5,NA,"Indianapolis","IN","1001-5000","IT Services",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"150","Capital Group",3.8,"$73k-$113k","San Antonio","TX","5001-10000","Investment Banking & Asset Management",0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
