"","company","city","state","companysize","industy","statistics","python","machine learning","engineering","computer science","r","mathematics","economics","sql","data mining","java","operations research","physics","hive","sas","applied mathematics","clustering","econometrics","hadoop","math","genetic information","spark","algorithms","data science","deep learning","development","marketing","matlab","statistical analysis","statistical modeling","modeling","predictive modeling"
"52","Uptake","Chicago","IL","501-1000","Computer Hardware & Software",1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"53","JetSmarter","Fort Lauderdale","FL","201-500","Airlines",0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"54","DuPont","Johnston","IA","10000+","Chemical Manufacturing",1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"55","Eventbrite","San Francisco","CA","501-1000","Internet",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"56","Aegon","Denver","CO","10000+","Insurance Carriers",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
"57","Fractal Analytics","Cincinnati","OH","1001-5000","Consulting",1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0
"58","WOW","Englewood","CO","1001-5000","Cable, Internet & Telephone Providers",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
"59","IBM","San Jose","CA","10000+",NA,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"60","LearnVest","New York","NY","201-500","Internet",1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
"61","Tuft & Needle","Mesa","AZ","51-200","Home Furniture & Housewares Stores",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
"62","Epiworks","Champaign","IL","51-200","Electrical & Electronic Manufacturing",1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"63","KPMG","Dallas","TX","10000+","Accounting",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0
"64","Cummins Power South","Columbus","IN","10000+","Transportation Equipment Manufacturing",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"65","PwC","Swansea","MA","10000+","Accounting",1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"66","Digital Reasoning","Franklin","TN","51-200","Computer Hardware & Software",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0
"67","Reinsurance Group of America","Chesterfield","MO","1001-5000","Insurance Carriers",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
"68","Backcountry","Park City","UT","501-1000","Department, Clothing, & Shoe Stores",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"69","Cardinal Solutions","Cincinnati","OH","201-500","IT Services",1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
"70","MITRE","Tampa","FL","5001-10000","Research & Development",0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
"71","EcoSense Lighting","Los Angeles","CA","51-200","Electrical & Electronic Manufacturing",0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"72","Monsanto Company","Saint Louis","MO","10000+","Food Production",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
